"","geneNames","geneCounts","NC"
"469","smrA_2",90,1
"470","group_1674",90,1
"471","bprV",90,1
"472","grpE",90,1
"473","hemE",90,1
"474","cpoB",90,1
"475","mlaF_2",90,1
"476","mlaE_2",90,1
"477","group_1682",90,1
"478","fni",90,1
"479","group_1697",90,1
"480","lagD",90,1
"481","gltC",90,1
"482","nuoL_2",90,1
"483","purK",90,1
"484","lrgA",90,1
"485","group_1703",90,1
"486","group_1704",90,1
"487","cydB_2",90,1
"488","dapE_2",90,1
"489","mobA",90,1
"490","group_1710",90,1
"491","prfA_2",90,1
"492","group_1712",90,1
"493","group_1714",90,1
"494","pdeC",90,1
"495","cph2_4",90,1
"496","group_1717",90,1
"497","acyP",90,1
"498","group_1734",90,1
"499","clsB",90,1
"500","group_1736",90,1
"501","roxA",90,1
"502","group_1739",90,1
"503","epmC",90,1
"504","group_1741",90,1
"505","gltX",90,1
"506","celC",90,1
"507","kdsB",90,1
"508","tsaB",90,1
"509","group_1747",90,1
"510","group_1751",90,1
"511","hipB",90,1
"512","group_1754",90,1
"513","group_1775",90,1
"514","group_1776",90,1
"515","tyrS",90,1
"516","group_1778",90,1
"517","plsC",90,1
"518","prs_2",90,1
"519","sauU_3",90,1
"520","sucA",90,1
"521","sdhA",90,1
"522","sdhC",90,1
"523","lpxD_3",90,1
"524","bamA",90,1
"525","uppS",90,1
"526","envC",90,1
"527","argH",90,1
"528","glnQ",90,1
"529","artQ",90,1
"530","group_1795",90,1
"531","purA",90,1
"532","yrdA",90,1
"533","group_1798",90,1
"534","group_1799",90,1
"535","group_18",90,1
"536","pyrB",90,1
"537","comM",90,1
"538","yqiC",90,1
"539","group_1804",90,1
"540","group_1805",90,1
"541","group_1806",90,1
"542","epmA",90,1
"543","rlmM",90,1
"544","group_1809",90,1
"545","ttuB",90,1
"546","group_1811",90,1
"547","queF",90,1
"548","group_1814",90,1
"549","tag",90,1
"550","group_1816",90,1
"551","comEC",90,1
"552","tdk",90,1
"553","exuT_1",90,1
"554","group_1821",90,1
"555","group_1824",90,1
"556","group_1825",90,1
"557","csaA",90,1
"558","nsrR",90,1
"559","tehB_2",90,1
"560","group_1836",90,1
"561","group_1837",90,1
"562","group_1839",90,1
"563","bepF_2",90,1
"564","dpp5",90,1
"565","pgdA_2",90,1
"566","group_1843",90,1
"567","group_1844",90,1
"568","group_1845",90,1
"569","bla",90,1
"570","petJ",90,1
"571","mta_2",90,1
"572","ppc",90,1
"573","group_1855",90,1
"574","ycfS",90,1
"575","group_1857",90,1
"576","group_1858",90,1
"577","group_1859",90,1
"578","dgcT",90,1
"579","pacS_2",90,1
"580","zur",90,1
"581","glsA",90,1
"582","group_1866",90,1
"583","group_1867",90,1
"584","group_1868",90,1
"585","yfgD",90,1
"586","group_187",90,1
"587","rhlE",90,1
"588","yhhQ",90,1
"589","group_1872",90,1
"590","yeeA",90,1
"591","emrA",90,1
"592","group_1875",90,1
"593","lpxH",90,1
"594","pdhA",90,1
"595","thiG",90,1
"596","group_1880",90,1
"597","rpoE",90,1
"598","sdhE",90,1
"599","group_1883",90,1
"600","tmoS",90,1
"601","group_1886",90,1
"602","proP_6",90,1
"603","group_1890",90,1
"604","kup_3",90,1
"605","dbpA",90,1
"606","thrC",90,1
"607","group_1898",90,1
"608","ygfZ",90,1
"609","yceI_2",90,1
"610","iolE",90,1
"611","iolG",90,1
"612","dcsG",90,1
"613","group_1904",90,1
"614","gadC_4",90,1
"615","group_1906",90,1
"616","group_1907",90,1
"617","group_1908",90,1
"618","group_191",90,1
"619","amgK",90,1
"620","group_1911",90,1
"621","group_1912",90,1
"622","epmB",90,1
"623","group_1914",90,1
"624","cdpA",90,1
"625","mltD_2",90,1
"626","group_1922",90,1
"627","sixA",90,1
"628","yyaP",90,1
"629","group_1933",90,1
"630","hisC_2",90,1
"631","group_1935",90,1
"632","group_1936",90,1
"633","yabJ",90,1
"634","group_1938",90,1
"635","yggS",90,1
"636","group_1941",90,1
"637","proP_7",90,1
"638","esiB_4",90,1
"639","zraS",90,1
"640","group_1947",90,1
"641","mfd",90,1
"642","group_1949",90,1
"643","aadK",90,1
"644","yfcG",90,1
"645","yhbO",90,1
"646","potA",90,1
"647","group_1964",90,1
"648","group_1965",90,1
"649","bcr_4",90,1
"650","fosA_2",90,1
"651","group_1970",90,1
"652","group_1973",90,1
"653","group_1974",90,1
"654","secE",90,1
"655","rpoC",90,1
"656","rpsG",90,1
"657","group_1978",90,1
"658","group_1979",90,1
"659","group_198",90,1
"660","asnS",90,1
"661","cpnA",90,1
"662","group_1985",90,1
"663","group_1989",90,1
"664","tldD",90,1
"665","bioA",90,1
"666","kynB",90,1
"667","cyaB",90,1
"668","group_215",90,1
"669","group_216",90,1
"670","oatA_1",90,1
"671","trpF",90,1
"672","pdeN",90,1
"673","group_2236",90,1
"674","mtcA2_2",90,1
"675","group_2302",90,1
"676","group_232",90,1
"677","bepE_2",90,1
"678","group_2328",90,1
"679","group_233",90,1
"680","group_2336",90,1
"681","yxaF",90,1
"682","petC",90,1
"683","group_236",90,1
"684","group_237",90,1
"685","group_244",90,1
"686","group_258",90,1
"687","pabB",90,1
"688","empA",90,1
"689","decR_1",90,1
"690","mscM",90,1
"691","yciV",90,1
"692","group_306",90,1
"693","group_307",90,1
"694","group_308",90,1
"695","lem3",90,1
"696","group_311",90,1
"697","group_314",90,1
"698","damX",90,1
"699","prlC",90,1
"700","group_326",90,1
"701","group_338",90,1
"702","group_341",90,1
"703","group_346",90,1
"704","tamB",90,1
"705","clpB",90,1
"706","group_350",90,1
"707","group_351",90,1
"708","group_356",90,1
"709","addB",90,1
"710","group_359",90,1
"711","carC",90,1
"712","group_362",90,1
"713","group_363",90,1
"714","algJ",90,1
"715","group_365",90,1
"716","group_370",90,1
"717","nat",90,1
"718","group_372",90,1
"719","smc_3",90,1
"720","adhA",90,1
"721","group_377",90,1
"722","group_378",90,1
"723","group_381",90,1
"724","group_382",90,1
"725","waaA",90,1
"726","prkC_2",90,1
"727","group_388",90,1
"728","group_389",90,1
"729","map_2",90,1
"730","clcA_2",90,1
"731","dinG",90,1
"732","group_399",90,1
"733","ppsE",90,1
"734","cpdA_1",90,1
"735","group_408",90,1
"736","group_409",90,1
"737","trmB",90,1
"738","group_411",90,1
"739","pheA_2",90,1
"740","ftsI_2",90,1
"741","mta_3",90,1
"742","group_420",90,1
"743","sdeA_4",90,1
"744","group_422",90,1
"745","thiE",90,1
"746","moeZ",90,1
"747","galP",90,1
"748","fixL",90,1
"749","group_442",90,1
"750","group_444",90,1
"751","argE_2",90,1
"752","group_448",90,1
"753","group_449",90,1
"754","group_450",90,1
"755","setA",90,1
"756","group_459",90,1
"757","fliK",90,1
"758","pcnB",90,1
"759","hpt",90,1
"760","dat",90,1
"761","aceF",90,1
"762","group_528",90,1
"763","pepN_1",90,1
"764","sdeA_1",90,1
"765","group_531",90,1
"766","bioD",90,1
"767","scpB",90,1
"768","deoC",90,1
"769","group_540",90,1
"770","ubiA",90,1
"771","ubiC",90,1
"772","group_543",90,1
"773","udp",90,1
"774","htpG",90,1
"775","group_552",90,1
"776","esiB_1",90,1
"777","dedD",90,1
"778","folC",90,1
"779","group_558",90,1
"780","fliD",90,1
