"","geneNames","geneCounts","2006-2010"
"458","group_1660",20,1
"459","rseP_1",20,1
"460","bioC_2",20,1
"461","group_1663",20,1
"462","group_1664",20,1
"463","group_1666",20,1
"464","motA",20,1
"465","group_1668",20,1
"466","group_1669",20,1
"467","smrA_1",20,1
"468","asd2",20,1
"469","smrA_2",20,1
"470","group_1674",20,1
"471","bprV",20,1
"472","grpE",20,1
"473","hemE",20,1
"474","cpoB",20,1
"475","mlaF_2",20,1
"476","mlaE_2",20,1
"477","group_1682",20,1
"478","fni",20,1
"479","group_1697",20,1
"480","lagD",20,1
"481","gltC",20,1
"482","nuoL_2",20,1
"483","purK",20,1
"484","lrgA",20,1
"485","group_1703",20,1
"486","group_1704",20,1
"487","cydB_2",20,1
"488","dapE_2",20,1
"489","mobA",20,1
"490","group_1710",20,1
"491","prfA_2",20,1
"492","group_1712",20,1
"493","group_1714",20,1
"494","pdeC",20,1
"495","cph2_4",20,1
"496","group_1717",20,1
"497","acyP",20,1
"498","group_1734",20,1
"499","clsB",20,1
"500","group_1736",20,1
"501","roxA",20,1
"502","group_1739",20,1
"503","epmC",20,1
"504","group_1741",20,1
"505","gltX",20,1
"506","celC",20,1
"507","kdsB",20,1
"508","tsaB",20,1
"509","group_1747",20,1
"510","group_1751",20,1
"511","hipB",20,1
"512","group_1754",20,1
"513","group_1775",20,1
"514","group_1776",20,1
"515","tyrS",20,1
"516","group_1778",20,1
"517","plsC",20,1
"518","prs_2",20,1
"519","sauU_3",20,1
"520","sucA",20,1
"521","sdhA",20,1
"522","sdhC",20,1
"523","lpxD_3",20,1
"524","bamA",20,1
"525","uppS",20,1
"526","envC",20,1
"527","argH",20,1
"528","glnQ",20,1
"529","artQ",20,1
"530","group_1795",20,1
"531","purA",20,1
"532","yrdA",20,1
"533","group_1798",20,1
"534","group_1799",20,1
"535","group_18",20,1
"536","pyrB",20,1
"537","comM",20,1
"538","yqiC",20,1
"539","group_1804",20,1
"540","group_1805",20,1
"541","group_1806",20,1
"542","epmA",20,1
"543","rlmM",20,1
"544","group_1809",20,1
"545","ttuB",20,1
"546","group_1811",20,1
"547","queF",20,1
"548","group_1814",20,1
"549","tag",20,1
"550","group_1816",20,1
"551","comEC",20,1
"552","tdk",20,1
"553","exuT_1",20,1
"554","group_1821",20,1
"555","group_1824",20,1
"556","group_1825",20,1
"557","csaA",20,1
"558","nsrR",20,1
"559","tehB_2",20,1
"560","group_1836",20,1
"561","group_1837",20,1
"562","group_1839",20,1
"563","bepF_2",20,1
"564","dpp5",20,1
"565","pgdA_2",20,1
"566","group_1843",20,1
"567","group_1844",20,1
"568","group_1845",20,1
"569","bla",20,1
"570","petJ",20,1
"571","mta_2",20,1
"572","ppc",20,1
"573","group_1855",20,1
"574","ycfS",20,1
"575","group_1857",20,1
"576","group_1858",20,1
"577","group_1859",20,1
"578","dgcT",20,1
"579","pacS_2",20,1
"580","zur",20,1
"581","glsA",20,1
"582","group_1866",20,1
"583","group_1867",20,1
"584","group_1868",20,1
"585","yfgD",20,1
"586","group_187",20,1
"587","rhlE",20,1
"588","yhhQ",20,1
"589","group_1872",20,1
"590","yeeA",20,1
"591","emrA",20,1
"592","group_1875",20,1
"593","lpxH",20,1
"594","pdhA",20,1
"595","thiG",20,1
"596","group_1880",20,1
"597","rpoE",20,1
"598","sdhE",20,1
"599","group_1883",20,1
"600","tmoS",20,1
"601","group_1886",20,1
"602","proP_6",20,1
"603","group_1890",20,1
"604","kup_3",20,1
"605","dbpA",20,1
"606","thrC",20,1
"607","group_1898",20,1
"608","ygfZ",20,1
"609","yceI_2",20,1
"610","iolE",20,1
"611","iolG",20,1
"612","dcsG",20,1
"613","group_1904",20,1
"614","gadC_4",20,1
"615","group_1906",20,1
"616","group_1907",20,1
"617","group_1908",20,1
"618","group_191",20,1
"619","amgK",20,1
"620","group_1911",20,1
"621","group_1912",20,1
"622","epmB",20,1
"623","group_1914",20,1
"624","cdpA",20,1
"625","mltD_2",20,1
"626","group_1922",20,1
"627","sixA",20,1
"628","yyaP",20,1
"629","group_1933",20,1
"630","hisC_2",20,1
"631","group_1935",20,1
"632","group_1936",20,1
"633","yabJ",20,1
"634","group_1938",20,1
"635","yggS",20,1
"636","group_1941",20,1
"637","proP_7",20,1
"638","esiB_4",20,1
"639","zraS",20,1
"640","group_1947",20,1
"641","mfd",20,1
"642","group_1949",20,1
"643","aadK",20,1
"644","yfcG",20,1
"645","yhbO",20,1
"646","potA",20,1
"647","group_1964",20,1
"648","group_1965",20,1
"649","bcr_4",20,1
"650","fosA_2",20,1
"651","group_1970",20,1
"652","group_1973",20,1
"653","group_1974",20,1
"654","secE",20,1
"655","rpoC",20,1
"656","rpsG",20,1
"657","group_1978",20,1
"658","group_1979",20,1
"659","group_198",20,1
"660","asnS",20,1
"661","cpnA",20,1
"662","group_1985",20,1
"663","group_1989",20,1
"664","tldD",20,1
"665","bioA",20,1
"666","kynB",20,1
"667","cyaB",20,1
"668","group_215",20,1
"669","group_216",20,1
"670","oatA_1",20,1
"671","trpF",20,1
"672","pdeN",20,1
"673","group_2236",20,1
"674","mtcA2_2",20,1
"675","group_2302",20,1
"676","group_232",20,1
